source_id,lane_id,author,year,title,source_type,publisher_or_venue,url,verification_status,reading_status,relation_to_framework,claim_or_requirement_ids
L09-002,L09,George Perkovich and James M. Acton,2008,Abolishing Nuclear Weapons,Adelphi Paper,IISS / Carnegie Endowment,https://carnegieendowment.org/research/2008/09/abolishing-nuclear-weapons,verified_official_summary,official_summary_coded,antecedent;support;boundary,OA-003;OA-008;OA-009;OA-010;OA-012
L09-006,L09,Harold A. Feiveson et al.,2014,Unmaking the Bomb,Book,MIT Press,https://academic.oup.com/mit-press-scholarship-online/book/29416/chapter/245045352,verified_official_metadata,summary_coded,antecedent;support,OA-009;OA-010
L10-005,L10,Andrew Futter,2018,Hacking the Bomb: Cyber Threats and Nuclear Weapons,Book,Georgetown University Press,https://press.georgetown.edu/Book/Hacking-the-Bomb,verified_official_metadata,metadata_coded,boundary;support,OA-002;OA-011;XR-014
L10-006,L10,Nuclear Threat Initiative,2021,"Advancing Nuclear Fail-Safe: Reducing Risks of Accidental, Mistaken, or Unauthorized Nuclear Use",Program and reports,NTI,https://www.nti.org/about/programs-projects/project/advancing-nuclear-fail-safe/,verified_official_summary,official_summary_coded,antecedent;implementation_evidence,OA-002;OA-011
L10-001,L10,Scott D. Sagan,1993,"The Limits of Safety: Organizations, Accidents, and Nuclear Weapons",Book,Princeton University Press,,bibliographic_seed,metadata_only,antecedent;contradiction,OA-002;OA-011
L11-001,L11,Graham Allison,2004,Nuclear Terrorism: The Ultimate Preventable Catastrophe,Book,Times Books / Belfer Center,https://www.belfercenter.org/publication/nuclear-terrorism-ultimate-preventable-catastrophe,verified_institutional_summary,summary_coded,support;boundary,OA-001;OA-002;OA-011
L11-002,L11,Michael Levi,2007,On Nuclear Terrorism,Book,Harvard University Press / Council on Foreign Relations,https://www.cfr.org/book/nuclear-terrorism,verified_institutional_summary,summary_coded,contradiction;boundary,OA-001;OA-002;OA-011
L11-004,L11,John Mueller,2010,Atomic Obsession: Nuclear Alarmism from Hiroshima to Al-Qaeda,Book,Oxford University Press,https://global.oup.com/academic/product/atomic-obsession-9780199837090,verified_official_metadata,metadata_coded,contradiction,OA-001;OA-002;OA-011
L12-001,L12,National Research Council,2009,Global Security Engagement: A New Model for Cooperative Threat Reduction,Report,National Academies Press,https://nap.nationalacademies.org/read/12583/chapter/10,verified_official_summary,official_summary_coded,antecedent;support;boundary,OA-004;OA-007;OA-012
L12-002,L12,Defense Threat Reduction Agency,1991,Nunn-Lugar Cooperative Threat Reduction Program,Operational program,DTRA,https://www.dtra.mil/About/DTRA-History/,verified_official_summary,official_summary_coded,implementation_evidence,OA-004;OA-007;OA-011
L12-003,L12,National Science Foundation / National Academies,1995,Civilian Research and Development Foundation,Operational program,CRDF,https://nap.nationalacademies.org/resource/program/crdf.html,verified_official_summary,official_summary_coded,implementation_evidence;boundary,OA-007
L13-001,L13,Nina Tannenwald,2007,The Nuclear Taboo: The United States and the Non-Use of Nuclear Weapons Since 1945,Book,Cambridge University Press,https://www.cambridge.org/core/books/nuclear-taboo/4478F0E2CBE343D679E39B6E37076642,verified_official_metadata,metadata_coded,antecedent;support;contradiction,OA-003;OA-010;XR-013
L13-002,L13,Maria Rost Rublee,2009,Nonproliferation Norms: Why States Choose Nuclear Restraint,Book,University of Georgia Press,https://www.ugapress.org/9780820335896/nonproliferation-norms/,verified_official_metadata,metadata_coded,antecedent;contradiction,OA-003;OA-010;XR-013
L13-003,L13,Shampa Biswas,2014,Nuclear Desire: Power and the Postcolonial Nuclear Order,Book,University of Minnesota Press,https://www.upress.umn.edu/book-division/books/nuclear-desire,verified_official_metadata,metadata_coded,contradiction;boundary,OA-003;OA-008;OA-010;XR-013
L14-001,L14,Andrew Futter,2026,The Third Nuclear Age,Book,Oxford University Press,https://academic.oup.com/book/63097,verified_official_metadata,contents_and_summary_coded,boundary;antecedent,OA-002;OA-008;OA-010;XR-014
L14-003,L14,Andrew Futter,2018,Hacking the Bomb: Cyber Threats and Nuclear Weapons,Book,Georgetown University Press,https://press.georgetown.edu/Book/Hacking-the-Bomb,verified_official_metadata,metadata_coded,boundary;support,OA-002;OA-011;XR-014
L14-004,L14,James M. Acton,2018,Escalation through Entanglement,Journal article,International Security,https://direct.mit.edu/isec/article/43/1/56/12221/Escalation-through-Entanglement-How-the,verified_official_metadata,abstract_coded,boundary;support,OA-002;OA-011;XR-014
L15-006,L15,Etel Solingen,2007,Nuclear Logics,Book,Princeton University Press,https://global.ucla.edu/burkle/person/676,verified_author_metadata,summary_coded,case;antecedent,OA-003;OA-008;XR-015
L15-001,L15,Vipin Narang,2014,Nuclear Strategy in the Modern Era,Book,Princeton University Press,,bibliographic_seed,metadata_only,antecedent;case,OA-008;OA-010;XR-015
L15-002,L15,George Perkovich,1999,India's Nuclear Bomb: The Impact on Global Proliferation,Book,University of California Press,,bibliographic_seed,metadata_only,case;boundary,OA-003;OA-008;OA-010;XR-015
L16-002,L16,Ariel E. Levite,2002,Never Say Never Again: Nuclear Reversal Revisited,Journal article,International Security,https://www.belfercenter.org/publication/never-say-never-again-nuclear-reversal-revisited,verified_institutional_summary,official_summary_coded,antecedent;boundary,OA-003;OA-004;OA-009;XR-016
L16-003,L16,Robert E. Kelley,2011,"Nuclear Disarmament: Lessons from South Africa, Iraq and Libya",Report,SIPRI,https://www.sipri.org/publications/2011/sipri-papers/nuclear-disarmament-lessons-south-africa-iraq-and-libya,verified_official_summary,official_summary_coded,case;implementation_evidence,OA-004;OA-005;OA-009;XR-016
L16-001,L16,Mitchell B. Reiss,1995,Bridled Ambition: Why Countries Constrain Their Nuclear Capabilities,Book,Woodrow Wilson Center Press,,bibliographic_seed,metadata_only,antecedent;case,OA-003;OA-004;XR-016
L17-002,L17,"George W. Downs, David M. Rocke, and Peter N. Barsoom",1996,Is the Good News About Compliance Good News About Cooperation?,Journal article,International Organization,https://www.cambridge.org/core/journals/international-organization/article/abs/is-the-good-news-about-compliance-good-news-about-cooperation/636DE333F8E1EC944825DDBFD81BE294,verified_official_abstract,abstract_coded,contradiction;boundary,OA-005;OA-006;OA-008;OA-012
L17-003,L17,Jeffrey M. Kaplow,2022,Signing Away the Bomb,Book,Cambridge University Press,https://www.cambridge.org/core/books/signing-away-the-bomb/6D128E5AE79E2AED3286DCC52FB2658F,verified_official_summary,contents_coded,contradiction;support,OA-003;OA-008;OA-009;OA-012
L17-004,L17,Rebecca Davis Gibbons,2022,The Hegemon's Tool Kit,Book,Cornell University Press,https://academic.oup.com/cornell-scholarship-online/book/45290,verified_official_metadata,contents_coded,antecedent;contradiction,OA-003;OA-008;OA-012
L18-002,L18,"Rudolf Avenhaus, Bernhard von Stengel, and Shmuel Zamir",1996,Compliance Quantified: An Introduction to Data Verification,Book,Cambridge University Press,https://www.cambridge.org/core/books/compliance-quantified/BD2B21B8AF05EC25879FF0BCFBDB9F0E,verified_official_summary,official_summary_coded,method;antecedent,OA-002;OA-005;OA-011
L18-003,L18,Herman Kahn and Irwin Mann,1956,Techniques of Systems Analysis,Research memorandum,RAND Corporation,https://www.rand.org/pubs/research_memoranda/RM1829-1.html,verified_official_summary,official_summary_coded,method;antecedent,OA-011;OA-012
L18-004,L18,Center for Strategic and International Studies,2026,NEXT: Negotiation Exercise Tabletop,Interactive exercise platform,CSIS,https://next.csis.org/,verified_official_summary,official_summary_coded,method;implementation_evidence,OA-011;OA-012
